"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\IFFCO React\my-app\src\App.js", "JavaScript", 51, 0, 0, 2, 53
"d:\IFFCO React\my-app\src\Components\Footer.css", "CSS", 0, 3, 0, 0, 3
"d:\IFFCO React\my-app\src\Components\Footer.js", "JavaScript", 104, 0, 0, 8, 112
"d:\IFFCO React\my-app\src\Components\Header.js", "JavaScript", 14, 0, 0, 5, 19
"d:\IFFCO React\my-app\src\Components\Navbar.css", "CSS", 0, 128, 4, 27, 159
"d:\IFFCO React\my-app\src\Components\Navbar.jsx", "JavaScript", 38, 0, 0, 3, 41
"d:\IFFCO React\my-app\src\Components\Secondnav.js", "JavaScript", 41, 0, 0, 3, 44
"d:\IFFCO React\my-app\src\FileComponents\AgriImplements.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\ComboPack.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\CropCare.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\Error.js", "JavaScript", 12, 0, 0, 3, 15
"d:\IFFCO React\my-app\src\FileComponents\Fertilizer.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\Gardening.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\Home.js", "JavaScript", 32, 0, 0, 3, 35
"d:\IFFCO React\my-app\src\FileComponents\OrganicProduct.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\Pesticide.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\Seeds.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\About.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\B2B.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\Contact.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\DigitalPayments.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\Privacy.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\FileComponents\UsefulLinks\Quiz.js", "JavaScript", 9, 0, 0, 3, 12
"d:\IFFCO React\my-app\src\index.js", "JavaScript", 9, 0, 0, 3, 12
"Total", "-", 427, 131, 4, 99, 661
